Trade(tid=7689996, price=0.01633703, amount=0.13976309, maker_side=buy, created_at=2018-06-03 14:37:48+00:00)
Trade(tid=7689997, price=0.01633702, amount=0.12319080, maker_side=buy, created_at=2018-06-03 14:37:48+00:00)
Trade(tid=7690031, price=0.01633706, amount=0.01440958, maker_side=buy, created_at=2018-06-03 14:38:56+00:00)
Trade(tid=7690852, price=0.01631400, amount=0.00716605, maker_side=buy, created_at=2018-06-03 15:46:18+00:00)
Trade(tid=7691115, price=0.01634800, amount=0.00222706, maker_side=buy, created_at=2018-06-03 16:06:46+00:00)
Trade(tid=7692070, price=0.01646898, amount=0.39034476, maker_side=sell, created_at=2018-06-03 17:08:16+00:00)
Trade(tid=7692357, price=0.01631000, amount=0.01179829, maker_side=buy, created_at=2018-06-03 17:25:59+00:00)
Trade(tid=7692358, price=0.01630000, amount=0.10000000, maker_side=buy, created_at=2018-06-03 17:25:59+00:00)
Trade(tid=7692359, price=0.01619301, amount=0.00643035, maker_side=buy, created_at=2018-06-03 17:25:59+00:00)
Trade(tid=7692541, price=0.01620101, amount=0.00100000, maker_side=buy, created_at=2018-06-03 17:39:06+00:00)
Trade(tid=7692624, price=0.01621100, amount=0.02869009, maker_side=buy, created_at=2018-06-03 17:48:27+00:00)
Trade(tid=7692657, price=0.01626001, amount=0.99500000, maker_side=buy, created_at=2018-06-03 17:52:22+00:00)
Trade(tid=7692931, price=0.01626000, amount=0.10000000, maker_side=buy, created_at=2018-06-03 18:45:04+00:00)
Trade(tid=7692943, price=0.01618800, amount=0.48169261, maker_side=sell, created_at=2018-06-03 18:46:06+00:00)
Trade(tid=7692951, price=0.01618800, amount=0.21830739, maker_side=sell, created_at=2018-06-03 18:46:20+00:00)
Trade(tid=7693263, price=0.01641800, amount=0.34766218, maker_side=buy, created_at=2018-06-03 19:29:44+00:00)
Trade(tid=7693262, price=0.01641800, amount=0.14491000, maker_side=sell, created_at=2018-06-03 19:29:43+00:00)
Trade(tid=7693263, price=0.01641800, amount=0.34766218, maker_side=buy, created_at=2018-06-03 19:29:44+00:00)
Trade(tid=7693469, price=0.01609000, amount=0.49460000, maker_side=buy, created_at=2018-06-03 19:46:45+00:00)
Trade(tid=7693471, price=0.01608812, amount=0.01170161, maker_side=buy, created_at=2018-06-03 19:47:04+00:00)
Trade(tid=7693558, price=0.01642900, amount=0.02205247, maker_side=sell, created_at=2018-06-03 19:59:05+00:00)
Trade(tid=7693574, price=0.01607515, amount=0.03902236, maker_side=buy, created_at=2018-06-03 20:03:36+00:00)
Trade(tid=7693797, price=0.01613601, amount=0.00200000, maker_side=buy, created_at=2018-06-03 20:48:56+00:00)
Trade(tid=7694569, price=0.01610802, amount=0.36296245, maker_side=buy, created_at=2018-06-03 23:12:06+00:00)
Trade(tid=7694568, price=0.01613602, amount=0.38373651, maker_side=buy, created_at=2018-06-03 23:12:06+00:00)
Trade(tid=7694567, price=0.01613700, amount=0.19855000, maker_side=buy, created_at=2018-06-03 23:12:06+00:00)
Trade(tid=7694569, price=0.01610802, amount=0.36296245, maker_side=buy, created_at=2018-06-03 23:12:06+00:00)
Trade(tid=7694568, price=0.01613602, amount=0.38373651, maker_side=buy, created_at=2018-06-03 23:12:06+00:00)
Trade(tid=7694569, price=0.01610802, amount=0.36296245, maker_side=buy, created_at=2018-06-03 23:12:06+00:00)
Trade(tid=7695174, price=0.01640176, amount=6.1E-7, maker_side=sell, created_at=2018-06-04 00:06:28+00:00)
Trade(tid=7695173, price=0.01640100, amount=0.16634000, maker_side=sell, created_at=2018-06-04 00:06:28+00:00)
Trade(tid=7695174, price=0.01640176, amount=6.1E-7, maker_side=sell, created_at=2018-06-04 00:06:28+00:00)
Trade(tid=7695252, price=0.01610901, amount=0.22095700, maker_side=buy, created_at=2018-06-04 00:08:56+00:00)
Trade(tid=7695539, price=0.01640000, amount=0.12904817, maker_side=sell, created_at=2018-06-04 00:23:26+00:00)
Trade(tid=7695538, price=0.01640000, amount=0.09900000, maker_side=sell, created_at=2018-06-04 00:23:26+00:00)
Trade(tid=7695539, price=0.01640000, amount=0.12904817, maker_side=sell, created_at=2018-06-04 00:23:26+00:00)
Trade(tid=7696097, price=0.01640099, amount=0.32423216, maker_side=sell, created_at=2018-06-04 00:37:51+00:00)
Trade(tid=7696096, price=0.01640099, amount=0.42680300, maker_side=sell, created_at=2018-06-04 00:37:51+00:00)
Trade(tid=7696097, price=0.01640099, amount=0.32423216, maker_side=sell, created_at=2018-06-04 00:37:51+00:00)
Trade(tid=7696643, price=0.01642500, amount=0.34295099, maker_side=sell, created_at=2018-06-04 01:24:22+00:00)
Trade(tid=7696661, price=0.01642500, amount=0.34294891, maker_side=sell, created_at=2018-06-04 01:28:39+00:00)
Trade(tid=7696849, price=0.01646899, amount=0.23330514, maker_side=sell, created_at=2018-06-04 01:53:15+00:00)
Trade(tid=7696848, price=0.01644000, amount=0.10000000, maker_side=sell, created_at=2018-06-04 01:53:15+00:00)
Trade(tid=7696847, price=0.01641000, amount=0.01176880, maker_side=sell, created_at=2018-06-04 01:53:15+00:00)
Trade(tid=7696849, price=0.01646899, amount=0.23330514, maker_side=sell, created_at=2018-06-04 01:53:15+00:00)
Trade(tid=7696848, price=0.01644000, amount=0.10000000, maker_side=sell, created_at=2018-06-04 01:53:15+00:00)
Trade(tid=7696849, price=0.01646899, amount=0.23330514, maker_side=sell, created_at=2018-06-04 01:53:15+00:00)
Trade(tid=7697381, price=0.01640000, amount=0.61951220, maker_side=sell, created_at=2018-06-04 03:27:22+00:00)
Trade(tid=7697389, price=0.01617500, amount=0.11119900, maker_side=buy, created_at=2018-06-04 03:30:35+00:00)
Trade(tid=7697573, price=0.01607572, amount=0.48813707, maker_side=buy, created_at=2018-06-04 04:14:24+00:00)
Trade(tid=7697572, price=0.01615350, amount=0.00619061, maker_side=buy, created_at=2018-06-04 04:14:24+00:00)
Trade(tid=7697571, price=0.01616000, amount=0.02572700, maker_side=buy, created_at=2018-06-04 04:14:24+00:00)
Trade(tid=7697570, price=0.01616000, amount=0.00618812, maker_side=buy, created_at=2018-06-04 04:14:24+00:00)
Trade(tid=7697573, price=0.01607572, amount=0.48813707, maker_side=buy, created_at=2018-06-04 04:14:24+00:00)
Trade(tid=7697572, price=0.01615350, amount=0.00619061, maker_side=buy, created_at=2018-06-04 04:14:24+00:00)
Trade(tid=7697571, price=0.01616000, amount=0.02572700, maker_side=buy, created_at=2018-06-04 04:14:24+00:00)
Trade(tid=7697573, price=0.01607572, amount=0.48813707, maker_side=buy, created_at=2018-06-04 04:14:24+00:00)
Trade(tid=7697572, price=0.01615350, amount=0.00619061, maker_side=buy, created_at=2018-06-04 04:14:24+00:00)
Trade(tid=7697573, price=0.01607572, amount=0.48813707, maker_side=buy, created_at=2018-06-04 04:14:24+00:00)
Trade(tid=7698449, price=0.01609000, amount=0.06836545, maker_side=buy, created_at=2018-06-04 06:44:52+00:00)
Trade(tid=7698457, price=0.01607510, amount=0.06151591, maker_side=buy, created_at=2018-06-04 06:46:01+00:00)
Trade(tid=7698754, price=0.01607510, amount=0.03848409, maker_side=buy, created_at=2018-06-04 09:17:23+00:00)
Trade(tid=7698764, price=0.01605003, amount=0.05386374, maker_side=buy, created_at=2018-06-04 09:30:59+00:00)
Trade(tid=7698763, price=0.01605003, amount=0.43613626, maker_side=buy, created_at=2018-06-04 09:30:59+00:00)
Trade(tid=7698764, price=0.01605003, amount=0.05386374, maker_side=buy, created_at=2018-06-04 09:30:59+00:00)
Trade(tid=7698767, price=0.01605000, amount=0.42576799, maker_side=buy, created_at=2018-06-04 09:36:50+00:00)
