Trade(tid=7692466, price=22958.18, amount=1.30672380, maker_side=buy, created_at=2018-06-03 17:33:21+00:00)
Trade(tid=7692467, price=22950.00, amount=0.30501090, maker_side=buy, created_at=2018-06-03 17:33:21+00:00)
Trade(tid=7692495, price=22905.00, amount=0.00673192, maker_side=buy, created_at=2018-06-03 17:34:48+00:00)
Trade(tid=7692496, price=22900.00, amount=0.42375896, maker_side=buy, created_at=2018-06-03 17:34:48+00:00)
Trade(tid=7692497, price=22900.00, amount=0.01589813, maker_side=buy, created_at=2018-06-03 17:34:48+00:00)
Trade(tid=7692502, price=22900.00, amount=0.07143812, maker_side=buy, created_at=2018-06-03 17:35:52+00:00)
Trade(tid=7692509, price=22900.00, amount=1.56001879, maker_side=sell, created_at=2018-06-03 17:36:23+00:00)
Trade(tid=7692515, price=23298.88, amount=0.00225359, maker_side=sell, created_at=2018-06-03 17:37:31+00:00)
Trade(tid=7692519, price=23299.96, amount=0.02145923, maker_side=sell, created_at=2018-06-03 17:38:06+00:00)
Trade(tid=7692521, price=22902.00, amount=0.02800000, maker_side=buy, created_at=2018-06-03 17:38:19+00:00)
Trade(tid=7692522, price=22900.00, amount=0.59780680, maker_side=buy, created_at=2018-06-03 17:38:19+00:00)
Trade(tid=7692544, price=22901.00, amount=0.08733244, maker_side=buy, created_at=2018-06-03 17:39:21+00:00)
Trade(tid=7692545, price=22901.00, amount=0.44734804, maker_side=sell, created_at=2018-06-03 17:39:30+00:00)
Trade(tid=7692546, price=23299.95, amount=0.10733900, maker_side=sell, created_at=2018-06-03 17:39:30+00:00)
Trade(tid=7692547, price=23299.95, amount=0.02916802, maker_side=sell, created_at=2018-06-03 17:39:30+00:00)
Trade(tid=7692548, price=23299.95, amount=0.10948500, maker_side=sell, created_at=2018-06-03 17:39:30+00:00)
Trade(tid=7692549, price=23299.98, amount=0.03858759, maker_side=sell, created_at=2018-06-03 17:39:30+00:00)
Trade(tid=7692550, price=23299.99, amount=0.10948500, maker_side=sell, created_at=2018-06-03 17:39:30+00:00)
Trade(tid=7692551, price=23299.99, amount=0.05563689, maker_side=sell, created_at=2018-06-03 17:39:30+00:00)
Trade(tid=7692555, price=22901.00, amount=0.05586000, maker_side=buy, created_at=2018-06-03 17:39:44+00:00)
Trade(tid=7692658, price=23299.99, amount=0.05384811, maker_side=sell, created_at=2018-06-03 17:52:24+00:00)
Trade(tid=7692659, price=23300.00, amount=0.98000000, maker_side=sell, created_at=2018-06-03 17:52:24+00:00)
Trade(tid=7692694, price=23499.83, amount=0.04393394, maker_side=sell, created_at=2018-06-03 18:04:39+00:00)
Trade(tid=7692723, price=23500.00, amount=0.01560093, maker_side=sell, created_at=2018-06-03 18:08:27+00:00)
Trade(tid=7692722, price=23500.00, amount=0.03473354, maker_side=sell, created_at=2018-06-03 18:08:13+00:00)
Trade(tid=7692721, price=23500.00, amount=0.12961320, maker_side=sell, created_at=2018-06-03 18:08:13+00:00)
Trade(tid=7692720, price=23499.83, amount=0.00586607, maker_side=sell, created_at=2018-06-03 18:08:13+00:00)
Trade(tid=7692724, price=23500.00, amount=2.84847397, maker_side=buy, created_at=2018-06-03 18:08:39+00:00)
Trade(tid=7692723, price=23500.00, amount=0.01560093, maker_side=sell, created_at=2018-06-03 18:08:27+00:00)
Trade(tid=7692722, price=23500.00, amount=0.03473354, maker_side=sell, created_at=2018-06-03 18:08:13+00:00)
Trade(tid=7692721, price=23500.00, amount=0.12961320, maker_side=sell, created_at=2018-06-03 18:08:13+00:00)
Trade(tid=7692724, price=23500.00, amount=2.84847397, maker_side=buy, created_at=2018-06-03 18:08:39+00:00)
Trade(tid=7692723, price=23500.00, amount=0.01560093, maker_side=sell, created_at=2018-06-03 18:08:27+00:00)
Trade(tid=7692722, price=23500.00, amount=0.03473354, maker_side=sell, created_at=2018-06-03 18:08:13+00:00)
Trade(tid=7692724, price=23500.00, amount=2.84847397, maker_side=buy, created_at=2018-06-03 18:08:39+00:00)
Trade(tid=7692723, price=23500.00, amount=0.01560093, maker_side=sell, created_at=2018-06-03 18:08:27+00:00)
Trade(tid=7692724, price=23500.00, amount=2.84847397, maker_side=buy, created_at=2018-06-03 18:08:39+00:00)
Trade(tid=7692797, price=23140.31, amount=0.05154135, maker_side=buy, created_at=2018-06-03 18:19:05+00:00)
Trade(tid=7692796, price=23140.32, amount=0.05850481, maker_side=buy, created_at=2018-06-03 18:19:05+00:00)
Trade(tid=7692795, price=23140.33, amount=0.10807971, maker_side=buy, created_at=2018-06-03 18:19:05+00:00)
Trade(tid=7692794, price=23300.00, amount=0.12875537, maker_side=buy, created_at=2018-06-03 18:19:05+00:00)
Trade(tid=7692797, price=23140.31, amount=0.05154135, maker_side=buy, created_at=2018-06-03 18:19:05+00:00)
Trade(tid=7692796, price=23140.32, amount=0.05850481, maker_side=buy, created_at=2018-06-03 18:19:05+00:00)
Trade(tid=7692795, price=23140.33, amount=0.10807971, maker_side=buy, created_at=2018-06-03 18:19:05+00:00)
Trade(tid=7692797, price=23140.31, amount=0.05154135, maker_side=buy, created_at=2018-06-03 18:19:05+00:00)
Trade(tid=7692796, price=23140.32, amount=0.05850481, maker_side=buy, created_at=2018-06-03 18:19:05+00:00)
Trade(tid=7692797, price=23140.31, amount=0.05154135, maker_side=buy, created_at=2018-06-03 18:19:05+00:00)
Trade(tid=7692808, price=23013.02, amount=0.00822905, maker_side=buy, created_at=2018-06-03 18:21:04+00:00)
Trade(tid=7692807, price=23013.03, amount=0.02884062, maker_side=buy, created_at=2018-06-03 18:21:04+00:00)
Trade(tid=7692806, price=23140.23, amount=0.05037159, maker_side=buy, created_at=2018-06-03 18:21:04+00:00)
Trade(tid=7692808, price=23013.02, amount=0.00822905, maker_side=buy, created_at=2018-06-03 18:21:04+00:00)
Trade(tid=7692807, price=23013.03, amount=0.02884062, maker_side=buy, created_at=2018-06-03 18:21:04+00:00)
Trade(tid=7692808, price=23013.02, amount=0.00822905, maker_side=buy, created_at=2018-06-03 18:21:04+00:00)
Trade(tid=7692821, price=23013.06, amount=0.10000000, maker_side=buy, created_at=2018-06-03 18:24:14+00:00)
Trade(tid=7692838, price=23399.97, amount=0.00268547, maker_side=sell, created_at=2018-06-03 18:28:32+00:00)
Trade(tid=7692841, price=23349.99, amount=0.10710900, maker_side=sell, created_at=2018-06-03 18:29:25+00:00)
Trade(tid=7692840, price=23349.98, amount=0.02644127, maker_side=sell, created_at=2018-06-03 18:29:25+00:00)
Trade(tid=7692842, price=23349.99, amount=0.06773462, maker_side=buy, created_at=2018-06-03 18:29:30+00:00)
Trade(tid=7692841, price=23349.99, amount=0.10710900, maker_side=sell, created_at=2018-06-03 18:29:25+00:00)
Trade(tid=7692842, price=23349.99, amount=0.06773462, maker_side=buy, created_at=2018-06-03 18:29:30+00:00)
Trade(tid=7692863, price=23399.98, amount=0.00182906, maker_side=sell, created_at=2018-06-03 18:35:09+00:00)
Trade(tid=7692903, price=23012.00, amount=0.00272751, maker_side=buy, created_at=2018-06-03 18:40:14+00:00)
Trade(tid=7692909, price=23500.00, amount=0.01585549, maker_side=sell, created_at=2018-06-03 18:40:45+00:00)
Trade(tid=7692908, price=23498.00, amount=0.00507395, maker_side=sell, created_at=2018-06-03 18:40:45+00:00)
Trade(tid=7692907, price=23399.98, amount=0.02171661, maker_side=sell, created_at=2018-06-03 18:40:45+00:00)
Trade(tid=7692909, price=23500.00, amount=0.01585549, maker_side=sell, created_at=2018-06-03 18:40:45+00:00)
Trade(tid=7692908, price=23498.00, amount=0.00507395, maker_side=sell, created_at=2018-06-03 18:40:45+00:00)
Trade(tid=7692909, price=23500.00, amount=0.01585549, maker_side=sell, created_at=2018-06-03 18:40:45+00:00)
Trade(tid=7692924, price=23766.00, amount=0.00368648, maker_side=sell, created_at=2018-06-03 18:43:52+00:00)
Trade(tid=7692923, price=23499.00, amount=0.00271388, maker_side=sell, created_at=2018-06-03 18:43:52+00:00)
Trade(tid=7692922, price=23500.00, amount=0.00346611, maker_side=sell, created_at=2018-06-03 18:43:52+00:00)
Trade(tid=7692924, price=23766.00, amount=0.00368648, maker_side=sell, created_at=2018-06-03 18:43:52+00:00)
Trade(tid=7692923, price=23499.00, amount=0.00271388, maker_side=sell, created_at=2018-06-03 18:43:52+00:00)
Trade(tid=7692924, price=23766.00, amount=0.00368648, maker_side=sell, created_at=2018-06-03 18:43:52+00:00)
Trade(tid=7692954, price=23699.99, amount=0.02467173, maker_side=sell, created_at=2018-06-03 18:46:25+00:00)
Trade(tid=7693036, price=23450.00, amount=0.00426439, maker_side=sell, created_at=2018-06-03 18:51:17+00:00)
Trade(tid=7693061, price=23399.83, amount=0.00042735, maker_side=sell, created_at=2018-06-03 18:56:10+00:00)
Trade(tid=7693095, price=23300.00, amount=0.00064378, maker_side=sell, created_at=2018-06-03 19:02:00+00:00)
Trade(tid=7693096, price=23011.00, amount=0.00137364, maker_side=buy, created_at=2018-06-03 19:02:18+00:00)
Trade(tid=7693124, price=22910.00, amount=0.05451768, maker_side=buy, created_at=2018-06-03 19:04:47+00:00)
Trade(tid=7693123, price=22910.00, amount=0.05456000, maker_side=buy, created_at=2018-06-03 19:04:47+00:00)
