Trade(tid=7690434, price=0.08000001, amount=0.07626249, maker_side=buy, created_at=2018-06-03 15:13:26+00:00)
Trade(tid=7690435, price=0.08000000, amount=0.59607738, maker_side=buy, created_at=2018-06-03 15:13:26+00:00)
Trade(tid=7690436, price=0.08000000, amount=0.80762438, maker_side=sell, created_at=2018-06-03 15:13:26+00:00)
Trade(tid=7690437, price=0.08000000, amount=0.42003575, maker_side=sell, created_at=2018-06-03 15:13:27+00:00)
Trade(tid=7690438, price=0.08047999, amount=0.00063109, maker_side=sell, created_at=2018-06-03 15:13:27+00:00)
Trade(tid=7690439, price=0.08000000, amount=0.77471350, maker_side=sell, created_at=2018-06-03 15:13:34+00:00)
Trade(tid=7690440, price=0.08000000, amount=0.77471350, maker_side=sell, created_at=2018-06-03 15:13:36+00:00)
Trade(tid=7690441, price=0.08000000, amount=0.35057300, maker_side=sell, created_at=2018-06-03 15:13:37+00:00)
Trade(tid=7690442, price=0.08048998, amount=0.00052665, maker_side=sell, created_at=2018-06-03 15:13:37+00:00)
Trade(tid=7690454, price=0.08000000, amount=0.80771013, maker_side=sell, created_at=2018-06-03 15:13:49+00:00)
Trade(tid=7690455, price=0.08000000, amount=0.80771013, maker_side=sell, created_at=2018-06-03 15:13:50+00:00)
Trade(tid=7690456, price=0.08048997, amount=0.28500731, maker_side=sell, created_at=2018-06-03 15:13:50+00:00)
Trade(tid=7690691, price=0.08000000, amount=0.51834250, maker_side=sell, created_at=2018-06-03 15:33:09+00:00)
Trade(tid=7690692, price=0.08041987, amount=0.00077879, maker_side=sell, created_at=2018-06-03 15:33:09+00:00)
Trade(tid=7691216, price=0.07945600, amount=0.01717260, maker_side=buy, created_at=2018-06-03 16:12:45+00:00)
Trade(tid=7692300, price=0.07954501, amount=0.04050537, maker_side=buy, created_at=2018-06-03 17:22:30+00:00)
Trade(tid=7692625, price=0.07987998, amount=0.07612700, maker_side=sell, created_at=2018-06-03 17:48:54+00:00)
Trade(tid=7692626, price=0.07987998, amount=0.00011442, maker_side=sell, created_at=2018-06-03 17:48:54+00:00)
Trade(tid=7692818, price=0.07895101, amount=0.04469656, maker_side=buy, created_at=2018-06-03 18:22:51+00:00)
Trade(tid=7692817, price=0.07895201, amount=0.06843398, maker_side=buy, created_at=2018-06-03 18:22:51+00:00)
Trade(tid=7692816, price=0.07895300, amount=0.01062700, maker_side=buy, created_at=2018-06-03 18:22:51+00:00)
Trade(tid=7692818, price=0.07895101, amount=0.04469656, maker_side=buy, created_at=2018-06-03 18:22:51+00:00)
Trade(tid=7692817, price=0.07895201, amount=0.06843398, maker_side=buy, created_at=2018-06-03 18:22:51+00:00)
Trade(tid=7692818, price=0.07895101, amount=0.04469656, maker_side=buy, created_at=2018-06-03 18:22:51+00:00)
Trade(tid=7693034, price=0.07895212, amount=0.00889540, maker_side=buy, created_at=2018-06-03 18:50:58+00:00)
Trade(tid=7693033, price=0.07895212, amount=0.00013162, maker_side=buy, created_at=2018-06-03 18:50:58+00:00)
Trade(tid=7693034, price=0.07895212, amount=0.00889540, maker_side=buy, created_at=2018-06-03 18:50:58+00:00)
Trade(tid=7693241, price=0.07896100, amount=0.01513860, maker_side=buy, created_at=2018-06-03 19:27:53+00:00)
Trade(tid=7693528, price=0.07896700, amount=0.01000000, maker_side=buy, created_at=2018-06-03 19:55:30+00:00)
Trade(tid=7693595, price=0.07897500, amount=0.00062128, maker_side=buy, created_at=2018-06-03 20:08:00+00:00)
Trade(tid=7693813, price=0.07983361, amount=0.00007415, maker_side=sell, created_at=2018-06-03 20:52:06+00:00)
Trade(tid=7693812, price=0.07983361, amount=0.04032900, maker_side=sell, created_at=2018-06-03 20:52:06+00:00)
Trade(tid=7693811, price=0.07930740, amount=0.00888206, maker_side=sell, created_at=2018-06-03 20:52:06+00:00)
Trade(tid=7693810, price=0.07920000, amount=0.00013143, maker_side=sell, created_at=2018-06-03 20:52:06+00:00)
Trade(tid=7693820, price=0.07983361, amount=0.00028722, maker_side=sell, created_at=2018-06-03 20:52:52+00:00)
Trade(tid=7693819, price=0.07980600, amount=0.19115630, maker_side=sell, created_at=2018-06-03 20:52:52+00:00)
Trade(tid=7693818, price=0.07980600, amount=0.80884370, maker_side=sell, created_at=2018-06-03 20:52:50+00:00)
Trade(tid=7693813, price=0.07983361, amount=0.00007415, maker_side=sell, created_at=2018-06-03 20:52:06+00:00)
Trade(tid=7693812, price=0.07983361, amount=0.04032900, maker_side=sell, created_at=2018-06-03 20:52:06+00:00)
Trade(tid=7693811, price=0.07930740, amount=0.00888206, maker_side=sell, created_at=2018-06-03 20:52:06+00:00)
Trade(tid=7693822, price=0.08005000, amount=0.00010219, maker_side=sell, created_at=2018-06-03 20:53:10+00:00)
Trade(tid=7693821, price=0.07983361, amount=0.06797763, maker_side=sell, created_at=2018-06-03 20:53:10+00:00)
Trade(tid=7693820, price=0.07983361, amount=0.00028722, maker_side=sell, created_at=2018-06-03 20:52:52+00:00)
Trade(tid=7693819, price=0.07980600, amount=0.19115630, maker_side=sell, created_at=2018-06-03 20:52:52+00:00)
Trade(tid=7693818, price=0.07980600, amount=0.80884370, maker_side=sell, created_at=2018-06-03 20:52:50+00:00)
Trade(tid=7693813, price=0.07983361, amount=0.00007415, maker_side=sell, created_at=2018-06-03 20:52:06+00:00)
Trade(tid=7693812, price=0.07983361, amount=0.04032900, maker_side=sell, created_at=2018-06-03 20:52:06+00:00)
Trade(tid=7693822, price=0.08005000, amount=0.00010219, maker_side=sell, created_at=2018-06-03 20:53:10+00:00)
Trade(tid=7693821, price=0.07983361, amount=0.06797763, maker_side=sell, created_at=2018-06-03 20:53:10+00:00)
Trade(tid=7693820, price=0.07983361, amount=0.00028722, maker_side=sell, created_at=2018-06-03 20:52:52+00:00)
Trade(tid=7693819, price=0.07980600, amount=0.19115630, maker_side=sell, created_at=2018-06-03 20:52:52+00:00)
Trade(tid=7693818, price=0.07980600, amount=0.80884370, maker_side=sell, created_at=2018-06-03 20:52:50+00:00)
Trade(tid=7693813, price=0.07983361, amount=0.00007415, maker_side=sell, created_at=2018-06-03 20:52:06+00:00)
Trade(tid=7693822, price=0.08005000, amount=0.00010219, maker_side=sell, created_at=2018-06-03 20:53:10+00:00)
Trade(tid=7693821, price=0.07983361, amount=0.06797763, maker_side=sell, created_at=2018-06-03 20:53:10+00:00)
Trade(tid=7693820, price=0.07983361, amount=0.00028722, maker_side=sell, created_at=2018-06-03 20:52:52+00:00)
Trade(tid=7693819, price=0.07980600, amount=0.19115630, maker_side=sell, created_at=2018-06-03 20:52:52+00:00)
Trade(tid=7693818, price=0.07980600, amount=0.80884370, maker_side=sell, created_at=2018-06-03 20:52:50+00:00)
Trade(tid=7693822, price=0.08005000, amount=0.00010219, maker_side=sell, created_at=2018-06-03 20:53:10+00:00)
Trade(tid=7693821, price=0.07983361, amount=0.06797763, maker_side=sell, created_at=2018-06-03 20:53:10+00:00)
Trade(tid=7693820, price=0.07983361, amount=0.00028722, maker_side=sell, created_at=2018-06-03 20:52:52+00:00)
Trade(tid=7693819, price=0.07980600, amount=0.19115630, maker_side=sell, created_at=2018-06-03 20:52:52+00:00)
Trade(tid=7693822, price=0.08005000, amount=0.00010219, maker_side=sell, created_at=2018-06-03 20:53:10+00:00)
Trade(tid=7693821, price=0.07983361, amount=0.06797763, maker_side=sell, created_at=2018-06-03 20:53:10+00:00)
Trade(tid=7693820, price=0.07983361, amount=0.00028722, maker_side=sell, created_at=2018-06-03 20:52:52+00:00)
Trade(tid=7693822, price=0.08005000, amount=0.00010219, maker_side=sell, created_at=2018-06-03 20:53:10+00:00)
Trade(tid=7693821, price=0.07983361, amount=0.06797763, maker_side=sell, created_at=2018-06-03 20:53:10+00:00)
Trade(tid=7693822, price=0.08005000, amount=0.00010219, maker_side=sell, created_at=2018-06-03 20:53:10+00:00)
Trade(tid=7693928, price=0.07902000, amount=0.09120123, maker_side=buy, created_at=2018-06-03 21:11:50+00:00)
Trade(tid=7694077, price=0.08028845, amount=0.05184656, maker_side=sell, created_at=2018-06-03 21:36:37+00:00)
Trade(tid=7694295, price=0.07917100, amount=0.21087714, maker_side=buy, created_at=2018-06-03 22:18:49+00:00)
Trade(tid=7694294, price=0.07917101, amount=0.01633632, maker_side=buy, created_at=2018-06-03 22:18:49+00:00)
Trade(tid=7694295, price=0.07917100, amount=0.21087714, maker_side=buy, created_at=2018-06-03 22:18:49+00:00)
Trade(tid=7694417, price=0.07921000, amount=0.05176880, maker_side=buy, created_at=2018-06-03 22:39:59+00:00)
Trade(tid=7694547, price=0.08012690, amount=0.00006352, maker_side=sell, created_at=2018-06-03 23:08:51+00:00)
Trade(tid=7694546, price=0.07950000, amount=0.04223008, maker_side=sell, created_at=2018-06-03 23:08:51+00:00)
Trade(tid=7694547, price=0.08012690, amount=0.00006352, maker_side=sell, created_at=2018-06-03 23:08:51+00:00)
Trade(tid=7695105, price=0.07933301, amount=0.00287849, maker_side=buy, created_at=2018-06-04 00:02:20+00:00)
Trade(tid=7695479, price=0.08036988, amount=0.12027528, maker_side=sell, created_at=2018-06-04 00:19:34+00:00)
Trade(tid=7695523, price=0.08036999, amount=0.66975186, maker_side=sell, created_at=2018-06-04 00:22:41+00:00)
Trade(tid=7695519, price=0.08036999, amount=0.80133418, maker_side=sell, created_at=2018-06-04 00:22:39+00:00)
Trade(tid=7695518, price=0.08036999, amount=0.80133418, maker_side=sell, created_at=2018-06-04 00:22:38+00:00)
Trade(tid=7695517, price=0.08036999, amount=0.00026602, maker_side=sell, created_at=2018-06-04 00:22:37+00:00)
Trade(tid=7695516, price=0.08036988, amount=0.17701510, maker_side=sell, created_at=2018-06-04 00:22:37+00:00)
Trade(tid=7695515, price=0.08036988, amount=0.80135481, maker_side=sell, created_at=2018-06-04 00:22:36+00:00)
Trade(tid=7695514, price=0.08036988, amount=0.80135481, maker_side=sell, created_at=2018-06-04 00:22:33+00:00)
Trade(tid=7695523, price=0.08036999, amount=0.66975186, maker_side=sell, created_at=2018-06-04 00:22:41+00:00)
Trade(tid=7695519, price=0.08036999, amount=0.80133418, maker_side=sell, created_at=2018-06-04 00:22:39+00:00)
Trade(tid=7695518, price=0.08036999, amount=0.80133418, maker_side=sell, created_at=2018-06-04 00:22:38+00:00)
Trade(tid=7695517, price=0.08036999, amount=0.00026602, maker_side=sell, created_at=2018-06-04 00:22:37+00:00)
Trade(tid=7695516, price=0.08036988, amount=0.17701510, maker_side=sell, created_at=2018-06-04 00:22:37+00:00)
Trade(tid=7695515, price=0.08036988, amount=0.80135481, maker_side=sell, created_at=2018-06-04 00:22:36+00:00)
Trade(tid=7695523, price=0.08036999, amount=0.66975186, maker_side=sell, created_at=2018-06-04 00:22:41+00:00)
Trade(tid=7695519, price=0.08036999, amount=0.80133418, maker_side=sell, created_at=2018-06-04 00:22:39+00:00)
Trade(tid=7695518, price=0.08036999, amount=0.80133418, maker_side=sell, created_at=2018-06-04 00:22:38+00:00)
Trade(tid=7695517, price=0.08036999, amount=0.00026602, maker_side=sell, created_at=2018-06-04 00:22:37+00:00)
Trade(tid=7695516, price=0.08036988, amount=0.17701510, maker_side=sell, created_at=2018-06-04 00:22:37+00:00)
Trade(tid=7695523, price=0.08036999, amount=0.66975186, maker_side=sell, created_at=2018-06-04 00:22:41+00:00)
Trade(tid=7695519, price=0.08036999, amount=0.80133418, maker_side=sell, created_at=2018-06-04 00:22:39+00:00)
Trade(tid=7695518, price=0.08036999, amount=0.80133418, maker_side=sell, created_at=2018-06-04 00:22:38+00:00)
Trade(tid=7695517, price=0.08036999, amount=0.00026602, maker_side=sell, created_at=2018-06-04 00:22:37+00:00)
Trade(tid=7695523, price=0.08036999, amount=0.66975186, maker_side=sell, created_at=2018-06-04 00:22:41+00:00)
Trade(tid=7695519, price=0.08036999, amount=0.80133418, maker_side=sell, created_at=2018-06-04 00:22:39+00:00)
Trade(tid=7695518, price=0.08036999, amount=0.80133418, maker_side=sell, created_at=2018-06-04 00:22:38+00:00)
Trade(tid=7695523, price=0.08036999, amount=0.66975186, maker_side=sell, created_at=2018-06-04 00:22:41+00:00)
Trade(tid=7695519, price=0.08036999, amount=0.80133418, maker_side=sell, created_at=2018-06-04 00:22:39+00:00)
Trade(tid=7695523, price=0.08036999, amount=0.66975186, maker_side=sell, created_at=2018-06-04 00:22:41+00:00)
Trade(tid=7695611, price=0.08036988, amount=0.06198305, maker_side=sell, created_at=2018-06-04 00:28:36+00:00)
Trade(tid=7695610, price=0.08036988, amount=0.80136103, maker_side=sell, created_at=2018-06-04 00:28:35+00:00)
Trade(tid=7695609, price=0.08036988, amount=0.80136103, maker_side=sell, created_at=2018-06-04 00:28:34+00:00)
Trade(tid=7695608, price=0.08037000, amount=0.19819348, maker_side=sell, created_at=2018-06-04 00:28:31+00:00)
Trade(tid=7695607, price=0.08038700, amount=0.00029781, maker_side=sell, created_at=2018-06-04 00:28:31+00:00)
Trade(tid=7695606, price=0.08037000, amount=0.80135984, maker_side=sell, created_at=2018-06-04 00:28:30+00:00)
Trade(tid=7695605, price=0.08037000, amount=0.00044668, maker_side=sell, created_at=2018-06-04 00:28:29+00:00)
Trade(tid=7695604, price=0.08036988, amount=0.29727794, maker_side=sell, created_at=2018-06-04 00:28:29+00:00)
Trade(tid=7695603, price=0.08036988, amount=0.80136103, maker_side=sell, created_at=2018-06-04 00:28:28+00:00)
Trade(tid=7695602, price=0.08036988, amount=0.80136103, maker_side=sell, created_at=2018-06-04 00:28:27+00:00)
Trade(tid=7695611, price=0.08036988, amount=0.06198305, maker_side=sell, created_at=2018-06-04 00:28:36+00:00)
