Trade(tid=7692641, price=154434.82, amount=0.00099991, maker_side=buy, created_at=2018-06-03 17:50:24+00:00)
Trade(tid=7692642, price=154158.32, amount=0.00099991, maker_side=buy, created_at=2018-06-03 17:50:29+00:00)
Trade(tid=7692643, price=153881.82, amount=0.00199991, maker_side=buy, created_at=2018-06-03 17:50:29+00:00)
Trade(tid=7692644, price=153331.80, amount=0.01555532, maker_side=buy, created_at=2018-06-03 17:50:29+00:00)
Trade(tid=7692645, price=154435.76, amount=0.00099991, maker_side=buy, created_at=2018-06-03 17:50:46+00:00)
Trade(tid=7692646, price=154436.77, amount=0.00099991, maker_side=buy, created_at=2018-06-03 17:51:07+00:00)
Trade(tid=7692647, price=154163.88, amount=0.00539424, maker_side=buy, created_at=2018-06-03 17:51:10+00:00)
Trade(tid=7692648, price=154163.88, amount=0.05140374, maker_side=buy, created_at=2018-06-03 17:51:11+00:00)
Trade(tid=7692652, price=154439.77, amount=0.00099991, maker_side=buy, created_at=2018-06-03 17:51:27+00:00)
Trade(tid=7692653, price=154440.78, amount=0.00099991, maker_side=buy, created_at=2018-06-03 17:51:47+00:00)
Trade(tid=7692654, price=154165.79, amount=0.00099991, maker_side=buy, created_at=2018-06-03 17:51:56+00:00)
Trade(tid=7692656, price=154446.26, amount=0.00099991, maker_side=buy, created_at=2018-06-03 17:52:07+00:00)
Trade(tid=7692660, price=154441.94, amount=0.00099991, maker_side=buy, created_at=2018-06-03 17:52:26+00:00)
Trade(tid=7692661, price=153349.72, amount=0.00166867, maker_side=buy, created_at=2018-06-03 17:52:39+00:00)
Trade(tid=7692663, price=154160.99, amount=0.00064867, maker_side=sell, created_at=2018-06-03 17:52:59+00:00)
Trade(tid=7692664, price=154160.99, amount=0.00162169, maker_side=sell, created_at=2018-06-03 17:53:28+00:00)
Trade(tid=7692666, price=154100.61, amount=0.01513752, maker_side=sell, created_at=2018-06-03 17:55:56+00:00)
Trade(tid=7692674, price=153349.85, amount=0.01285247, maker_side=buy, created_at=2018-06-03 17:56:42+00:00)
Trade(tid=7692673, price=153600.10, amount=0.00199991, maker_side=buy, created_at=2018-06-03 17:56:42+00:00)
Trade(tid=7692672, price=153725.23, amount=0.00099991, maker_side=buy, created_at=2018-06-03 17:56:42+00:00)
Trade(tid=7692671, price=153850.36, amount=0.00099991, maker_side=buy, created_at=2018-06-03 17:56:42+00:00)
Trade(tid=7692674, price=153349.85, amount=0.01285247, maker_side=buy, created_at=2018-06-03 17:56:42+00:00)
Trade(tid=7692673, price=153600.10, amount=0.00199991, maker_side=buy, created_at=2018-06-03 17:56:42+00:00)
Trade(tid=7692672, price=153725.23, amount=0.00099991, maker_side=buy, created_at=2018-06-03 17:56:42+00:00)
Trade(tid=7692674, price=153349.85, amount=0.01285247, maker_side=buy, created_at=2018-06-03 17:56:42+00:00)
Trade(tid=7692673, price=153600.10, amount=0.00199991, maker_side=buy, created_at=2018-06-03 17:56:42+00:00)
Trade(tid=7692675, price=154100.61, amount=0.00948549, maker_side=sell, created_at=2018-06-03 17:57:44+00:00)
Trade(tid=7692674, price=153349.85, amount=0.01285247, maker_side=buy, created_at=2018-06-03 17:56:42+00:00)
Trade(tid=7692679, price=154160.99, amount=0.00099991, maker_side=sell, created_at=2018-06-03 17:58:10+00:00)
