Trade(tid=7707008, price=2402.99, amount=0.84101058, maker_side=buy, created_at=2018-06-05 01:12:51+00:00)
Trade(tid=7707009, price=2402.99, amount=0.04511047, maker_side=buy, created_at=2018-06-05 01:12:51+00:00)
Trade(tid=7707010, price=2402.98, amount=1.66151506, maker_side=buy, created_at=2018-06-05 01:12:51+00:00)
Trade(tid=7707036, price=2402.99, amount=0.15337930, maker_side=buy, created_at=2018-06-05 01:14:29+00:00)
Trade(tid=7707050, price=2441.83, amount=0.01000000, maker_side=sell, created_at=2018-06-05 01:17:45+00:00)
Trade(tid=7707059, price=2441.99, amount=0.08190042, maker_side=sell, created_at=2018-06-05 01:18:01+00:00)
Trade(tid=7707070, price=2405.24, amount=0.08273603, maker_side=buy, created_at=2018-06-05 01:20:30+00:00)
Trade(tid=7707071, price=2441.83, amount=7.0E-7, maker_side=buy, created_at=2018-06-05 01:20:30+00:00)
Trade(tid=7707072, price=2405.23, amount=0.01000000, maker_side=buy, created_at=2018-06-05 01:20:30+00:00)
Trade(tid=7707073, price=2405.00, amount=2.09726327, maker_side=buy, created_at=2018-06-05 01:20:30+00:00)
Trade(tid=7707081, price=2439.00, amount=0.04506355, maker_side=sell, created_at=2018-06-05 01:21:38+00:00)
Trade(tid=7707082, price=2439.00, amount=0.08610086, maker_side=sell, created_at=2018-06-05 01:21:39+00:00)
Trade(tid=7707088, price=2439.00, amount=0.02299303, maker_side=sell, created_at=2018-06-05 01:21:48+00:00)
Trade(tid=7707092, price=2439.00, amount=0.02299303, maker_side=sell, created_at=2018-06-05 01:21:54+00:00)
Trade(tid=7707129, price=2439.00, amount=0.03338663, maker_side=sell, created_at=2018-06-05 01:30:32+00:00)
Trade(tid=7707138, price=2405.00, amount=0.03000000, maker_side=buy, created_at=2018-06-05 01:31:19+00:00)
Trade(tid=7707141, price=2405.00, amount=0.14792870, maker_side=buy, created_at=2018-06-05 01:31:30+00:00)
Trade(tid=7707158, price=2405.00, amount=0.05719920, maker_side=buy, created_at=2018-06-05 01:34:33+00:00)
Trade(tid=7707174, price=2405.00, amount=0.06073679, maker_side=buy, created_at=2018-06-05 01:36:36+00:00)
Trade(tid=7707187, price=2405.00, amount=0.00370000, maker_side=buy, created_at=2018-06-05 01:40:49+00:00)
Trade(tid=7707200, price=2438.91, amount=0.79911108, maker_side=sell, created_at=2018-06-05 01:44:01+00:00)
Trade(tid=7707211, price=2405.01, amount=0.06300000, maker_side=buy, created_at=2018-06-05 01:47:10+00:00)
Trade(tid=7707236, price=2438.23, amount=0.04999938, maker_side=sell, created_at=2018-06-05 01:52:38+00:00)
Trade(tid=7707250, price=2406.23, amount=0.05000000, maker_side=buy, created_at=2018-06-05 01:55:21+00:00)
Trade(tid=7707254, price=2406.23, amount=0.07074552, maker_side=sell, created_at=2018-06-05 01:55:23+00:00)
Trade(tid=7707257, price=2406.23, amount=0.00948372, maker_side=sell, created_at=2018-06-05 01:55:42+00:00)
Trade(tid=7707259, price=2406.23, amount=0.17812928, maker_side=sell, created_at=2018-06-05 01:55:46+00:00)
Trade(tid=7707261, price=2406.23, amount=0.08663760, maker_side=sell, created_at=2018-06-05 01:55:48+00:00)
Trade(tid=7707273, price=2406.00, amount=0.20000000, maker_side=buy, created_at=2018-06-05 01:57:14+00:00)
Trade(tid=7707277, price=2406.00, amount=0.00781380, maker_side=buy, created_at=2018-06-05 01:58:20+00:00)
Trade(tid=7707278, price=2405.00, amount=0.67417412, maker_side=buy, created_at=2018-06-05 01:58:20+00:00)
Trade(tid=7707279, price=2402.83, amount=0.01000000, maker_side=buy, created_at=2018-06-05 01:58:20+00:00)
Trade(tid=7707280, price=2401.02, amount=0.00808559, maker_side=buy, created_at=2018-06-05 01:58:20+00:00)
Trade(tid=7707284, price=2402.84, amount=0.20000000, maker_side=buy, created_at=2018-06-05 01:58:32+00:00)
Trade(tid=7707340, price=2436.44, amount=0.12313047, maker_side=sell, created_at=2018-06-05 02:03:32+00:00)
Trade(tid=7707341, price=2435.99, amount=0.24630643, maker_side=sell, created_at=2018-06-05 02:03:53+00:00)
Trade(tid=7707349, price=2435.94, amount=1.37985523, maker_side=sell, created_at=2018-06-05 02:05:08+00:00)
Trade(tid=7707350, price=2435.95, amount=23.70000000, maker_side=sell, created_at=2018-06-05 02:05:08+00:00)
Trade(tid=7707351, price=2435.98, amount=15.15067466, maker_side=sell, created_at=2018-06-05 02:05:08+00:00)
Trade(tid=7707356, price=2401.03, amount=0.02774099, maker_side=buy, created_at=2018-06-05 02:06:16+00:00)
Trade(tid=7707366, price=2435.93, amount=0.20526041, maker_side=sell, created_at=2018-06-05 02:07:33+00:00)
Trade(tid=7707420, price=2401.03, amount=0.01602085, maker_side=buy, created_at=2018-06-05 02:14:26+00:00)
Trade(tid=7707454, price=2435.93, amount=0.00688854, maker_side=sell, created_at=2018-06-05 02:16:54+00:00)
Trade(tid=7707495, price=2401.23, amount=0.05000000, maker_side=buy, created_at=2018-06-05 02:20:28+00:00)
Trade(tid=7707496, price=2405.00, amount=0.03373389, maker_side=buy, created_at=2018-06-05 02:20:28+00:00)
Trade(tid=7707497, price=2401.02, amount=0.20015924, maker_side=buy, created_at=2018-06-05 02:20:28+00:00)
Trade(tid=7707498, price=2401.02, amount=1.04122415, maker_side=buy, created_at=2018-06-05 02:20:28+00:00)
Trade(tid=7707499, price=2401.02, amount=0.85234609, maker_side=buy, created_at=2018-06-05 02:20:28+00:00)
Trade(tid=7707500, price=2401.01, amount=0.12494742, maker_side=buy, created_at=2018-06-05 02:20:28+00:00)
Trade(tid=7707501, price=2400.00, amount=0.80639552, maker_side=buy, created_at=2018-06-05 02:20:28+00:00)
