Trade(tid=7707023, price=22445.00, amount=0.05000000, maker_side=sell, created_at=2018-06-05 01:13:45+00:00)
Trade(tid=7707024, price=22449.98, amount=0.00995000, maker_side=sell, created_at=2018-06-05 01:13:45+00:00)
Trade(tid=7707027, price=22449.98, amount=0.00619023, maker_side=buy, created_at=2018-06-05 01:13:47+00:00)
Trade(tid=7707030, price=22449.98, amount=0.00852302, maker_side=buy, created_at=2018-06-05 01:14:08+00:00)
Trade(tid=7707033, price=22449.98, amount=0.00254383, maker_side=buy, created_at=2018-06-05 01:14:12+00:00)
Trade(tid=7707046, price=22449.98, amount=0.02369292, maker_side=buy, created_at=2018-06-05 01:17:20+00:00)
Trade(tid=7707133, price=22450.00, amount=0.00475323, maker_side=sell, created_at=2018-06-05 01:30:36+00:00)
Trade(tid=7707164, price=21971.00, amount=0.01303927, maker_side=buy, created_at=2018-06-05 01:35:44+00:00)
Trade(tid=7707195, price=22450.00, amount=0.01778286, maker_side=sell, created_at=2018-06-05 01:41:51+00:00)
Trade(tid=7707196, price=22499.96, amount=0.16003472, maker_side=sell, created_at=2018-06-05 01:41:51+00:00)
Trade(tid=7707258, price=21971.00, amount=0.00101277, maker_side=buy, created_at=2018-06-05 01:55:42+00:00)
Trade(tid=7707334, price=22498.97, amount=0.00510957, maker_side=sell, created_at=2018-06-05 02:02:52+00:00)
Trade(tid=7707372, price=22498.89, amount=0.02222332, maker_side=sell, created_at=2018-06-05 02:07:52+00:00)
Trade(tid=7707384, price=21971.01, amount=0.00365548, maker_side=buy, created_at=2018-06-05 02:10:55+00:00)
Trade(tid=7707389, price=21971.01, amount=0.04308976, maker_side=buy, created_at=2018-06-05 02:11:42+00:00)
Trade(tid=7707390, price=21971.01, amount=0.05815709, maker_side=buy, created_at=2018-06-05 02:11:42+00:00)
Trade(tid=7707391, price=21971.01, amount=0.02264348, maker_side=buy, created_at=2018-06-05 02:11:42+00:00)
Trade(tid=7707392, price=21971.00, amount=0.09084487, maker_side=buy, created_at=2018-06-05 02:11:42+00:00)
Trade(tid=7707393, price=21971.00, amount=0.01834236, maker_side=sell, created_at=2018-06-05 02:11:45+00:00)
Trade(tid=7707395, price=21971.00, amount=0.03372627, maker_side=sell, created_at=2018-06-05 02:11:49+00:00)
Trade(tid=7707459, price=21972.00, amount=1.16524668, maker_side=buy, created_at=2018-06-05 02:17:38+00:00)
Trade(tid=7707460, price=21970.00, amount=0.02275831, maker_side=buy, created_at=2018-06-05 02:17:38+00:00)
Trade(tid=7707461, price=21822.01, amount=3.85034801, maker_side=buy, created_at=2018-06-05 02:17:38+00:00)
