Trade(tid=7706997, price=11921.68, amount=0.13000000, maker_side=buy, created_at=2018-06-05 01:11:59+00:00)
Trade(tid=7707035, price=11934.28, amount=0.42751849, maker_side=buy, created_at=2018-06-05 01:14:15+00:00)
Trade(tid=7707039, price=12100.87, amount=0.00059830, maker_side=sell, created_at=2018-06-05 01:14:55+00:00)
Trade(tid=7707060, price=12099.21, amount=0.01232642, maker_side=sell, created_at=2018-06-05 01:18:12+00:00)
Trade(tid=7707061, price=11925.00, amount=0.00755200, maker_side=buy, created_at=2018-06-05 01:18:24+00:00)
Trade(tid=7707087, price=11930.00, amount=0.72469797, maker_side=buy, created_at=2018-06-05 01:21:45+00:00)
Trade(tid=7707109, price=12082.58, amount=0.05000000, maker_side=sell, created_at=2018-06-05 01:24:37+00:00)
Trade(tid=7707110, price=12086.85, amount=0.22200000, maker_side=buy, created_at=2018-06-05 01:24:39+00:00)
Trade(tid=7707116, price=11930.00, amount=0.00646757, maker_side=buy, created_at=2018-06-05 01:24:54+00:00)
Trade(tid=7707144, price=11930.87, amount=0.07172998, maker_side=buy, created_at=2018-06-05 01:31:54+00:00)
Trade(tid=7707150, price=11930.87, amount=0.00800528, maker_side=sell, created_at=2018-06-05 01:32:28+00:00)
Trade(tid=7707152, price=11930.00, amount=0.01161149, maker_side=buy, created_at=2018-06-05 01:32:57+00:00)
Trade(tid=7707153, price=11930.00, amount=0.20334389, maker_side=buy, created_at=2018-06-05 01:33:18+00:00)
Trade(tid=7707155, price=11930.87, amount=0.00843023, maker_side=sell, created_at=2018-06-05 01:33:19+00:00)
Trade(tid=7707157, price=11930.87, amount=0.12183451, maker_side=sell, created_at=2018-06-05 01:33:27+00:00)
Trade(tid=7707198, price=12095.39, amount=0.00073168, maker_side=sell, created_at=2018-06-05 01:42:56+00:00)
Trade(tid=7707204, price=11935.01, amount=0.00618750, maker_side=buy, created_at=2018-06-05 01:45:44+00:00)
Trade(tid=7707213, price=12078.05, amount=0.08279482, maker_side=sell, created_at=2018-06-05 01:48:13+00:00)
Trade(tid=7707271, price=12000.40, amount=0.01381001, maker_side=buy, created_at=2018-06-05 01:55:58+00:00)
Trade(tid=7707274, price=12000.00, amount=0.68247166, maker_side=buy, created_at=2018-06-05 01:57:29+00:00)
Trade(tid=7707308, price=12000.86, amount=0.01555969, maker_side=buy, created_at=2018-06-05 01:59:49+00:00)
Trade(tid=7707311, price=12000.43, amount=0.00286363, maker_side=buy, created_at=2018-06-05 01:59:53+00:00)
Trade(tid=7707316, price=12000.86, amount=0.01460515, maker_side=buy, created_at=2018-06-05 02:00:22+00:00)
Trade(tid=7707319, price=12000.43, amount=0.01460515, maker_side=buy, created_at=2018-06-05 02:00:27+00:00)
Trade(tid=7707322, price=12000.43, amount=0.01460515, maker_side=buy, created_at=2018-06-05 02:01:38+00:00)
Trade(tid=7707328, price=12000.43, amount=0.02757328, maker_side=buy, created_at=2018-06-05 02:01:52+00:00)
Trade(tid=7707329, price=12075.57, amount=0.34122996, maker_side=sell, created_at=2018-06-05 02:02:09+00:00)
Trade(tid=7707331, price=12075.57, amount=3.1E-7, maker_side=buy, created_at=2018-06-05 02:02:23+00:00)
Trade(tid=7707332, price=12075.16, amount=0.29082328, maker_side=sell, created_at=2018-06-05 02:02:37+00:00)
Trade(tid=7707333, price=12075.16, amount=2.0E-7, maker_side=buy, created_at=2018-06-05 02:02:47+00:00)
Trade(tid=7707335, price=12075.12, amount=0.23266328, maker_side=sell, created_at=2018-06-05 02:03:06+00:00)
Trade(tid=7707336, price=12075.12, amount=0.22281874, maker_side=sell, created_at=2018-06-05 02:03:06+00:00)
Trade(tid=7707339, price=12074.69, amount=0.14156306, maker_side=sell, created_at=2018-06-05 02:03:26+00:00)
Trade(tid=7707344, price=12000.00, amount=0.15038413, maker_side=buy, created_at=2018-06-05 02:04:41+00:00)
Trade(tid=7707348, price=12000.00, amount=0.11949182, maker_side=buy, created_at=2018-06-05 02:04:54+00:00)
Trade(tid=7707354, price=12000.00, amount=10.31085072, maker_side=buy, created_at=2018-06-05 02:05:18+00:00)
Trade(tid=7707358, price=11999.00, amount=0.00121677, maker_side=sell, created_at=2018-06-05 02:06:30+00:00)
Trade(tid=7707360, price=11999.00, amount=0.03099175, maker_side=sell, created_at=2018-06-05 02:06:33+00:00)
Trade(tid=7707361, price=12000.00, amount=0.01067750, maker_side=sell, created_at=2018-06-05 02:06:33+00:00)
Trade(tid=7707369, price=12000.00, amount=0.00641838, maker_side=sell, created_at=2018-06-05 02:07:49+00:00)
Trade(tid=7707370, price=12000.00, amount=0.18100000, maker_side=buy, created_at=2018-06-05 02:07:50+00:00)
Trade(tid=7707371, price=12000.00, amount=0.25874959, maker_side=buy, created_at=2018-06-05 02:07:51+00:00)
Trade(tid=7707373, price=12000.00, amount=0.58000000, maker_side=buy, created_at=2018-06-05 02:08:06+00:00)
Trade(tid=7707374, price=12000.00, amount=6.76899870, maker_side=buy, created_at=2018-06-05 02:08:15+00:00)
Trade(tid=7707375, price=12068.56, amount=0.01614940, maker_side=sell, created_at=2018-06-05 02:08:47+00:00)
Trade(tid=7707376, price=11936.00, amount=0.24409853, maker_side=buy, created_at=2018-06-05 02:09:07+00:00)
Trade(tid=7707377, price=11935.01, amount=0.49147694, maker_side=buy, created_at=2018-06-05 02:09:07+00:00)
Trade(tid=7707378, price=11925.00, amount=0.29266885, maker_side=buy, created_at=2018-06-05 02:09:07+00:00)
Trade(tid=7707400, price=12064.57, amount=0.05015512, maker_side=sell, created_at=2018-06-05 02:12:41+00:00)
Trade(tid=7707401, price=12064.00, amount=0.01651586, maker_side=buy, created_at=2018-06-05 02:12:43+00:00)
Trade(tid=7707405, price=12064.00, amount=0.00006239, maker_side=buy, created_at=2018-06-05 02:12:46+00:00)
Trade(tid=7707406, price=11925.00, amount=0.01651586, maker_side=buy, created_at=2018-06-05 02:12:46+00:00)
Trade(tid=7707407, price=12063.75, amount=0.00108258, maker_side=sell, created_at=2018-06-05 02:13:19+00:00)
Trade(tid=7707448, price=11925.00, amount=0.45394841, maker_side=buy, created_at=2018-06-05 02:16:46+00:00)
Trade(tid=7707449, price=11925.00, amount=0.01062307, maker_side=buy, created_at=2018-06-05 02:16:46+00:00)
Trade(tid=7707456, price=11922.52, amount=1.68026559, maker_side=buy, created_at=2018-06-05 02:17:12+00:00)
Trade(tid=7707481, price=12059.32, amount=0.00155150, maker_side=sell, created_at=2018-06-05 02:18:47+00:00)
Trade(tid=7707542, price=11895.00, amount=1.00050442, maker_side=buy, created_at=2018-06-05 02:21:36+00:00)
Trade(tid=7707543, price=11860.00, amount=0.00421586, maker_side=buy, created_at=2018-06-05 02:21:36+00:00)
Trade(tid=7707544, price=11850.00, amount=0.12489452, maker_side=buy, created_at=2018-06-05 02:21:36+00:00)
Trade(tid=7707545, price=11800.00, amount=0.07627119, maker_side=buy, created_at=2018-06-05 02:21:36+00:00)
Trade(tid=7707546, price=11800.00, amount=4.23728814, maker_side=buy, created_at=2018-06-05 02:21:36+00:00)
Trade(tid=7707547, price=11800.00, amount=0.42193899, maker_side=buy, created_at=2018-06-05 02:21:36+00:00)
Trade(tid=7707548, price=11799.00, amount=0.03729130, maker_side=buy, created_at=2018-06-05 02:21:36+00:00)
Trade(tid=7707549, price=11782.01, amount=9.74052268, maker_side=buy, created_at=2018-06-05 02:21:36+00:00)
Trade(tid=7707556, price=11782.00, amount=0.00138824, maker_side=buy, created_at=2018-06-05 02:21:53+00:00)
Trade(tid=7707557, price=11782.00, amount=0.00005634, maker_side=buy, created_at=2018-06-05 02:21:54+00:00)
Trade(tid=7707575, price=11760.01, amount=0.03892089, maker_side=buy, created_at=2018-06-05 02:22:56+00:00)
Trade(tid=7707576, price=11760.00, amount=1.62489412, maker_side=buy, created_at=2018-06-05 02:22:56+00:00)
Trade(tid=7707612, price=12046.41, amount=0.00415061, maker_side=sell, created_at=2018-06-05 02:24:45+00:00)
Trade(tid=7707669, price=11990.00, amount=0.00289482, maker_side=buy, created_at=2018-06-05 02:26:46+00:00)
Trade(tid=7707695, price=11990.00, amount=0.00003679, maker_side=buy, created_at=2018-06-05 02:29:03+00:00)
Trade(tid=7707696, price=11900.00, amount=0.05965483, maker_side=buy, created_at=2018-06-05 02:29:03+00:00)
Trade(tid=7707730, price=12028.66, amount=0.01662696, maker_side=sell, created_at=2018-06-05 02:32:05+00:00)
Trade(tid=7707731, price=12028.24, amount=0.09863998, maker_side=sell, created_at=2018-06-05 02:32:09+00:00)
Trade(tid=7707732, price=12028.27, amount=0.08383998, maker_side=sell, created_at=2018-06-05 02:32:09+00:00)
Trade(tid=7707733, price=12028.66, amount=0.01975788, maker_side=sell, created_at=2018-06-05 02:32:09+00:00)
Trade(tid=7707734, price=12028.67, amount=0.12961816, maker_side=sell, created_at=2018-06-05 02:32:09+00:00)
Trade(tid=7707735, price=12028.67, amount=0.12961816, maker_side=sell, created_at=2018-06-05 02:32:09+00:00)
Trade(tid=7707736, price=12029.50, amount=0.16203132, maker_side=sell, created_at=2018-06-05 02:32:09+00:00)
Trade(tid=7707737, price=11782.00, amount=0.00101086, maker_side=buy, created_at=2018-06-05 02:32:36+00:00)
Trade(tid=7707738, price=11900.00, amount=0.00055442, maker_side=buy, created_at=2018-06-05 02:32:36+00:00)
Trade(tid=7707739, price=11760.01, amount=0.04048128, maker_side=buy, created_at=2018-06-05 02:32:36+00:00)
Trade(tid=7707801, price=11997.56, amount=0.02973998, maker_side=sell, created_at=2018-06-05 02:41:19+00:00)
Trade(tid=7707802, price=11997.58, amount=0.04011695, maker_side=sell, created_at=2018-06-05 02:41:19+00:00)
Trade(tid=7707803, price=11997.59, amount=0.02527998, maker_side=sell, created_at=2018-06-05 02:41:19+00:00)
Trade(tid=7707804, price=11997.99, amount=0.03822204, maker_side=sell, created_at=2018-06-05 02:41:19+00:00)
Trade(tid=7707809, price=11765.38, amount=0.12985896, maker_side=buy, created_at=2018-06-05 02:43:06+00:00)
Trade(tid=7707810, price=11765.37, amount=0.05832966, maker_side=buy, created_at=2018-06-05 02:43:06+00:00)
Trade(tid=7707811, price=11764.94, amount=0.16974163, maker_side=buy, created_at=2018-06-05 02:43:06+00:00)
Trade(tid=7707812, price=11764.93, amount=0.05057404, maker_side=buy, created_at=2018-06-05 02:43:06+00:00)
Trade(tid=7707813, price=11764.93, amount=0.05057404, maker_side=buy, created_at=2018-06-05 02:43:06+00:00)
Trade(tid=7707814, price=11764.93, amount=0.05057404, maker_side=buy, created_at=2018-06-05 02:43:06+00:00)
Trade(tid=7707815, price=11764.50, amount=0.16974798, maker_side=buy, created_at=2018-06-05 02:43:06+00:00)
Trade(tid=7707816, price=11764.50, amount=0.16974798, maker_side=buy, created_at=2018-06-05 02:43:06+00:00)
Trade(tid=7707817, price=11764.50, amount=0.16974798, maker_side=buy, created_at=2018-06-05 02:43:06+00:00)
Trade(tid=7707818, price=11764.49, amount=0.05062013, maker_side=buy, created_at=2018-06-05 02:43:06+00:00)
Trade(tid=7707819, price=11764.06, amount=0.16975432, maker_side=buy, created_at=2018-06-05 02:43:06+00:00)
Trade(tid=7707820, price=11764.06, amount=0.16975432, maker_side=buy, created_at=2018-06-05 02:43:06+00:00)
Trade(tid=7707821, price=11764.06, amount=0.16975432, maker_side=buy, created_at=2018-06-05 02:43:06+00:00)
Trade(tid=7707822, price=11764.05, amount=0.16975447, maker_side=buy, created_at=2018-06-05 02:43:06+00:00)
Trade(tid=7707823, price=11764.03, amount=0.08932824, maker_side=buy, created_at=2018-06-05 02:43:06+00:00)
Trade(tid=7707824, price=11764.02, amount=0.16213789, maker_side=buy, created_at=2018-06-05 02:43:06+00:00)
Trade(tid=7707840, price=11764.02, amount=0.00761701, maker_side=buy, created_at=2018-06-05 02:46:07+00:00)
Trade(tid=7707841, price=11764.02, amount=0.05066976, maker_side=buy, created_at=2018-06-05 02:46:07+00:00)
Trade(tid=7707842, price=11764.00, amount=0.16975519, maker_side=buy, created_at=2018-06-05 02:46:07+00:00)
Trade(tid=7707843, price=11763.00, amount=0.08933606, maker_side=buy, created_at=2018-06-05 02:46:07+00:00)
Trade(tid=7707844, price=11762.99, amount=0.16976977, maker_side=buy, created_at=2018-06-05 02:46:07+00:00)
Trade(tid=7707845, price=11762.97, amount=0.05785954, maker_side=buy, created_at=2018-06-05 02:46:07+00:00)
Trade(tid=7707846, price=11762.53, amount=0.05036502, maker_side=buy, created_at=2018-06-05 02:46:07+00:00)
Trade(tid=7707847, price=11762.09, amount=0.16978276, maker_side=buy, created_at=2018-06-05 02:46:07+00:00)
Trade(tid=7707848, price=11762.09, amount=0.08934297, maker_side=buy, created_at=2018-06-05 02:46:07+00:00)
Trade(tid=7707849, price=11762.07, amount=0.16978304, maker_side=buy, created_at=2018-06-05 02:46:07+00:00)
Trade(tid=7707850, price=11762.05, amount=0.16978333, maker_side=buy, created_at=2018-06-05 02:46:07+00:00)
Trade(tid=7707851, price=11762.03, amount=0.08934343, maker_side=buy, created_at=2018-06-05 02:46:07+00:00)
Trade(tid=7707852, price=11761.00, amount=0.85026784, maker_side=buy, created_at=2018-06-05 02:46:07+00:00)
Trade(tid=7707853, price=11760.00, amount=0.82180846, maker_side=buy, created_at=2018-06-05 02:46:07+00:00)
Trade(tid=7707880, price=11993.48, amount=0.02035272, maker_side=sell, created_at=2018-06-05 02:47:12+00:00)
